seme;posto;giocatore;pv;strategia;sopra;quota_max;costruiti;lampo;cultura;rendita;monumenti;verticalita;continuita;scavo;scheletri;eredita;effetti_finali;piano;centro_attivato;oro_centro
700089;2;2;79;lampo;3;2;12;23;0;18;4;11;9;9;0;4;1;0;2;3
700089;3;1;73;rendita;7;4;10;4;1;15;0;29;6;5;5;5;3;0;1;2
700090;1;2;104;scavo;7;4;12;20;1;17;0;28;12;14;0;0;12;0;0;4
700090;2;0;98;rendita;5;4;11;6;1;47;4;31;9;0;0;0;0;0;3;4
700090;3;1;53;lampo;3;3;11;19;0;6;4;10;6;5;0;0;3;0;2;3
700091;1;0;132;lampo;6;5;13;20;1;39;4;37;11;13;0;5;2;0;2;4
700091;2;2;78;verticale;9;5;12;11;0;9;0;26;17;6;5;4;0;0;0;2
700091;3;1;72;scavo;6;4;10;16;1;3;0;34;12;5;0;0;1;0;2;2
700092;1;1;110;verticale;8;4;13;14;2;37;0;32;12;6;0;4;3;0;0;4
700092;2;0;88;scavo;7;4;11;9;0;22;4;32;14;3;0;4;0;0;2;5
700092;3;2;62;bilanciata;4;4;7;9;1;15;0;26;4;4;0;0;3;0;3;5
700093;1;0;102;verticale;9;5;12;18;3;23;0;35;10;7;0;0;6;0;2;8
700093;2;2;91;obiettivi;2;5;5;6;3;33;9;23;7;5;5;0;0;0;4;8
700093;3;1;69;bilanciata;5;4;11;14;0;4;0;22;14;10;5;0;0;0;2;1
700094;1;0;83;bilanciata;6;4;11;11;0;21;0;32;6;6;0;4;3;0;2;4
700094;2;2;83;rendita;4;4;6;5;4;22;0;29;12;0;5;0;6;0;2;5
700094;3;1;59;obiettivi;4;4;7;7;0;10;8;16;2;8;4;4;0;0;2;3
700095;1;0;127;obiettivi;5;5;10;6;0;45;9;43;12;5;0;5;2;0;3;6
700095;2;1;77;rendita;4;4;8;4;0;26;0;27;4;0;5;5;6;0;3;6
700095;3;2;66;lampo;6;4;12;23;0;0;0;14;12;10;7;0;0;0;0;0
700096;1;2;123;scavo;7;4;12;17;0;31;0;36;9;18;0;4;8;0;3;8
700096;2;1;98;lampo;6;4;12;19;1;17;0;25;11;12;5;5;3;0;1;5
700096;3;0;96;rendita;6;4;10;9;0;20;5;38;6;11;2;5;0;0;4;6
700097;1;2;120;verticale;10;5;13;14;0;25;0;42;17;13;5;4;0;0;1;3
700097;2;1;87;scavo;3;4;8;7;0;22;4;32;8;5;2;0;7;0;2;3
700097;3;0;59;lampo;2;2;10;19;0;11;0;10;6;13;0;0;0;0;0;0
700098;1;0;103;scavo;8;4;13;19;1;19;0;25;17;10;0;4;8;0;0;1
700098;2;1;95;verticale;8;4;11;10;0;18;4;39;9;6;4;5;0;0;0;0
